spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
31,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,11.64996667,45.28694444,spring,,,,,34.6,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,11.6483,45.285,spring,,,,,30.3,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,11.64552222,45.29583333,spring,,,,,21.2,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Euganei (Euganean geothermal area - Montegrotto),Bertha 2,11.79552222,45.3375,well,300,,,,80,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Euganei (Euganean geothermal area - Montegrotto),Braggion 1,11.79052222,45.333333,well,280,,,,75,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Euganei (Euganean geothermal area - Montegrotto),Mioni 2,11.79441111,45.33333,well,325,,,,80,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,n/a,7.3,,4290,,,1180,269,58,77,n/a,1890,n/a,618,140,n/a,n/a,n/a,n/a,58,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11.4,-82.7,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
37,Euganei (Euganean geothermal area - Montegrotto),San Daniele,11.79441111,45.33333,well,,,,,78,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.5,,4773,,,1245,359,64,73,n/a,2060,n/a,740,177,n/a,n/a,n/a,n/a,55,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.7,-80,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
38,Euganei (Euganean geothermal area - Montegrotto),Grand Hotel,11.79441111,45.33333,well,,,,,82,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.1,,5066,,,1340,375,64,71,n/a,2260,n/a,745,151,n/a,n/a,n/a,n/a,60,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-81.9,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
39,Euganei (Euganean geothermal area - Montegrotto),Canalezze,11.79441111,45.33333,well,,,,,81,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.4,,4425,,,1206,293,52,70,n/a,1980,n/a,622,146,n/a,n/a,n/a,n/a,56,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11.2,-83.6,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
40,Euganei (Euganean geothermal area - Montegrotto),Cristallo,11.79441111,45.33333,well,,,,,71,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.6,,4458,,,1130,352,62,65,n/a,1930,n/a,696,167,n/a,n/a,n/a,n/a,56,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11,-77.7,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
41,Euganei (Euganean geothermal area - Montegrotto),Canaletta,11.79441111,45.33333,well,,,,,75,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.4,,4170,,,1120,293,52,58,n/a,1850,n/a,576,165,n/a,n/a,n/a,n/a,56,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11.3,-82.9,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
42,Euganei (Euganean geothermal area - Montegrotto),Hotel Nazioni,11.79441111,45.33333,well,,,,,79,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7.3,,4389,,,1090,302,52,77,n/a,2030,n/a,668,117,n/a,n/a,n/a,n/a,53,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11.3,-82.1,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
43,Euganei (Euganean geothermal area - Montegrotto),Mezzavia,11.79441111,45.33333,well,410,,,,73,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,7,,4311,,,1040,313,65,72,n/a,1880,n/a,706,181,n/a,n/a,n/a,n/a,54,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-11.4,-83,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
44,Euganei (Euganean geothermal area - Montegrotto),Terme Romane,11.79441111,45.33333,well,400,,,,76,,,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,,n/a,6.9,,4913,,,1290,373,65,70,n/a,2170,n/a,751,139,n/a,n/a,n/a,n/a,55,"Gherardi, F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy,-10.8,-79.6,,,,,,"Gherardi F. et al. (2000): Water and gas geochemistry of the Euganean and Berician thermal district (Italy). Applied Geochemistry 15, 455 - 474.",https://doi.org/10.1016/S0883-2927(99)00056-6,https://www.researchgate.net/publication/242214436_Water_and_gas_geochemistry_of_the_Euganean_and_Berician_thermal_district_Italy
45,Acqui (comment Jacek: general area?),23,8.45300523,44.6916766,springs and shallow wells,,0.0162,,,,45,73,Waring (1965) USGS report,https://doi.org/10.3133/pp492,https://pubs.usgs.gov/pp/0492/report.pdf,,,,,118,3372,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Monti Pisani - San Giuliano Terme - geothermal area,Bagnetto Sprofondo/Bg. Duchessa ,10.44611111,43.75305556,spring,,0.018,,,26.5,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Monti Pisani - San Giuliano Terme - geothermal area,Bagno di Levante,10.44138889,43.76333333,spring,,0.0432,,,40.5,35.3,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Monti Pisani - San Giuliano Terme - geothermal area,Bagno di Ponente,10.44222222,43.76388889,spring,,0.012,,,39.5,37,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Monti Pisani - San Giuliano Terme - geothermal area,Caldaccoli,10.43638889,43.77027778,spring,,0.107,,,22.4,21.5,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Monti Pisani - San Giuliano Terme - geothermal area,La Croce (Cava),10.47388889,43.73583333,spring,,0.0252,,,23,,23.5,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Monti Pisani - San Giuliano Terme - geothermal area,Bagnetti di Agnano/Bagnetti,10.48833333,43.72555556,spring,,0.002,,,24,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Monti Pisani - San Giuliano Terme - geothermal area,Fonte di Agnano/Acqua di Agnano,10.48722222,43.72916667,spring,,0.018,,,24,20,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Monti Pisani - San Giuliano Terme - geothermal area,Vicascio,10.48944444,43.7275,spring,,0.0001,,,23,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Monti Pisani - San Giuliano Terme - geothermal area,S.Francesco,10.48722222,43.72805556,spring,,0.0006,,,18,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Val di Lima (Bagni di Lucca hot spring area),Bagno la Villa,10.5888888,44.0116666,spring,,0.0009,,,38,37.1,39,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Val di Lima (Bagni di Lucca hot spring area),Bagno S.Giovanni (san Giovanni bath),10.57027778,44.00972222,spring,,0.0005,,,39,38,,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,https://www.sciencedirect.com/science/article/pii/S0022169404005177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Val di Lima (Bagni di Lucca hot spring area),Bernabo' A,10.582222,44.010555,spring,,0.0003,,,38.4,,,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Val di Lima (Bagni di Lucca hot spring area),Bernabo' B,10.582222,44.010555,spring,,0.0001,,,31.2,,,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Val di Lima (Bagni di Lucca hot spring area),Cova,10.5788889,44.0102778,spring,,0.0004,,,35,,37.1,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Val di Lima (Bagni di Lucca hot spring area),Demidoff,10.58027778,44.01,spring,,0.0007,,,45,,46,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Val di Lima (Bagni di Lucca hot spring area),Docce Basse/Bagno Rosso,10.58,44.01166667,spring,,0.0006,,,33,32,42.5,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Val di Lima (Bagni di Lucca hot spring area),Doccione A,10.58277778,44.01305556,spring,,0.0003,,,54,53.3,,"DGS-UNMIG (1987); Boschetti et al. (2005): The Bagni di Lucca thermal waters (Tuscany, Italy): an example of Ca-SO4 waters with high Na/cl and low Ca/So4 ratios. In: Journal of Hydrology Volume 307, Issues 1-4, june 2005, p. 270-293.",https://doi.org/10.1016/j.jhydrol.2004.10.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Val di Lima (Bagni di Lucca hot spring area),Doccione B,10.58361111,44.0125,spring,,,,,46,,,"DGS-UNMIG (1987) Sorgenti Geotermiche. Inventario delle risorse geotermiche nazionali. Legge 9 dicembre 1986 n. 869. Direzione Generale Per La Sicurezza Anche Ambientale Delle Attività Minerarie Ed Energetiche (DGS-UNMIG), Italy.",,https://unmig.sviluppoeconomico.gov.it/images/geotermia/inventario/dati/sorgenti.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
